CID,MolecularWeight,IsomericSMILES,IUPACName,name,Descriptors
8714,476.5,CC(C)(CO)C(C(=O)NCCC(=O)[O-])O.CC(C)(CO)C(C(=O)NCCC(=O)[O-])O.[Ca+2],"calcium;3-[(2,4-dihydroxy-3,3-dimethylbutanoyl)amino]propanoate",6381-63-1,odorless
8723,88.15,CCC(C)CO,2-methylbutan-1-ol,2-methyl-1-butanol,greasy;fatty;cocoa;winey;whiskey;fusel;ethereal;alcoholic;leathery
8736,178.05,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],disodium;2-hydroxybutanedioate,sodium malate,odorless
8738,146.18,CCCCOC(=O)C(C)O,butyl 2-hydroxypropanoate,butyl lactate,vanilla;earthy;fruity;winey;melon rind;kiwi;apple;dairy;creamy;green;milky;waxy;soapy;apple skin;cheesy;ketonic;lactonic
8748,154.25,CC(=C)C1CCC(CC1)(C)O,1-methyl-4-prop-1-en-2-ylcyclohexan-1-ol,beta-terpineol,woody;earthy;pungent
8759,336.21,C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Na+].[Na+],disodium;2-[2-[carboxylatomethyl(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetate,edetate disodium,odorless
8759,336.21,C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Na+].[Na+],disodium;2-[2-[carboxylatomethyl(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetate,edetate disodium,odorless
8763,260.28,CCC(=O)OCC(COC(=O)CC)OC(=O)CC,"2,3-di(propanoyloxy)propyl propanoate",tripropionin,chemical;fruity;fatty;oily
8767,274.4,CC(CCC=C(C)C)CCOC(=O)CC1=CC=CC=C1,"3,7-dimethyloct-6-enyl 2-phenylacetate",citronellyl phenylacetate,sweet;floral;honey;rose;herbal;fresh;waxy
8768,138.12,C1=CC(=C(C=C1C=O)O)O,"3,4-dihydroxybenzaldehyde","3,4-dihydroxybenzaldehyde",dry;almond bitter almond;medicinal
8784,148.16,C1=CC=C(C=C1)C=CC(=O)O,3-phenylprop-2-enoic acid,"2-propenoic acid, 3-phenyl-",sweet;cinnamyl;balsamic;storax
8785,150.17,CC(=O)OCC1=CC=CC=C1,benzyl acetate,benzyl acetate,sweet;floral;fruity;fresh;jasmin
8791,290.4,CCCCCCCCCCCC(=O)OCC1=CC=CC=C1,benzyl dodecanoate,benzyl laurate,soapy;fatty;waxy
8792,206.28,CC(C)CC(=O)OCCC1=CC=CC=C1,2-phenylethyl 3-methylbutanoate,140-26-1,sweet;blueberry;ripe;floral;rose;fruity;pineapple;apricot;apple;tutti frutti;peach
8797,150.17,CC1=CC=C(C=C1)OC(=O)C,(4-methylphenyl) acetate,p-tolyl acetate,floral;animal;phenolic;narcissus
8815,148.2,COC1=CC=C(C=C1)CC=C,1-methoxy-4-prop-2-enylbenzene,estragole,sweet;anise;spicy;herbal;sassafrass;anisic;phenolic;green;minty;fennel
8821,100.12,CCOC(=O)C=C,ethyl prop-2-enoate,ethyl acrylate,plastic;fruity;acrylate
8831,258.35,CC(C)COC(=O)CCCCC(=O)OCC(C)C,bis(2-methylpropyl) hexanedioate,diisobutyl adipate,estery;mild
8833,198.3,CC(CCCC(=C)C)CCOC(=O)C,"3,7-dimethyloct-7-enyl acetate",rhodinyl acetate,rose red rose;spicy;leafy;floral;powdery;geranium;citrus
8834,212.33,CCC(=O)OCCC(C)CCC=C(C)C,"3,7-dimethyloct-6-enyl propanoate",citronellyl propionate,floral;rose;fruity;green;neroli;citrus;waxy
8835,226.35,CCCC(=O)OCCC(C)CCC=C(C)C,"3,7-dimethyloct-6-enyl butanoate",citronellyl butyrate,sweet;floral;fruity;bois de rose;green;geranium;tropical;citrus;waxy
8842,156.26,CC(CCC=C(C)C)CCO,"3,7-dimethyloct-6-en-1-ol",citronellol,sweet;mandarin;lime;rose red rose;spicy;fatty;floral;rose;citronella;geranium;powdery;fresh;lemon;citrus;waxy
8842,156.26,CC(CCC=C(C)C)CCO,"3,7-dimethyloct-6-en-1-ol",citronellol,floral;rose;bud;leather;citrus;waxy
8843,152.23,CC(=CCCC(=CC=O)C)C,"3,7-dimethylocta-2,6-dienal","3,7-dimethyl-2,6-octadienal",lemon;sweet;sharp
8857,88.11,CCOC(=O)C,ethyl acetate,ethyl acetate,sweet;rummy;grape;weedy;fruity;green;ethereal
8858,98.14,CC(=CC(=O)C)C,4-methylpent-3-en-2-one,mesityl oxide,vegetable;earthy;musty;nutty;woody;chemical;pungent;chocolate;acrylate
8863,218.33,CC(CCCC(C)(C)O)CC(OC)OC,"8,8-dimethoxy-2,6-dimethyloctan-2-ol","8,8-dimethoxy-2,6-dimethyloctan-2-ol",lily of the valley;floral;rose;muguet;green;lily;waxy
8868,130.14,CCOC(=O)CC(=O)C,ethyl 3-oxobutanoate,ethyl acetoacetate,fatty;fruity;apple;fresh;green
8878,170.25,CCCCCCC(=O)OCC=C,prop-2-enyl heptanoate,allyl heptanoate,sweet;fermented;ripe;banana;cognac;fruity;pineapple;fusel;waxy
8888,222.37,CC(=CCCC(=CCCC(C)(C=C)O)C)C,"3,7,11-trimethyldodeca-1,6,10-trien-3-ol",stirrup,floral;green;woody;citrus;waxy
8892,116.16,CCCCCC(=O)O,hexanoic acid,hexanoic acid,sweaty;cheesy;fatty;sour
8894,86.13,C1CCOCC1,oxane,tetrahydropyran,sweet;pungent;ethereal
8900,100.2,CCCCCCC,heptane,heptane,sweet;ethereal
8901,96.13,CC=CC=CC=O,"hexa-2,4-dienal","(e,e)-2,4-hexadienal",sweet;aldehydic;spicy;fatty;green
8905,232.28,C1CNCCN1.C(CCC(=O)O)CC(=O)O,hexanedioic acid;piperazine,piperazine adipate,odorless
8907,298.5,CCCCCCCCCCCCCCCC(=O)OC(C)C,propan-2-yl hexadecanoate,isopropyl palmitate,bland
8908,144.21,CCCCCCOC(=O)C,hexyl acetate,hexyl acetate,sweet;fatty;banana;fruity;apple;pear;fresh;green
8909,130.23,CCCCOCCCC,1-butoxybutane,butyl ether,ethereal
8914,144.25,CCCCCCCCCO,nonan-1-ol,1-nonanol,clean;fatty;floral;rose;dusty;oily;fresh;orange;wet
8918,186.29,CCCCCCCCCOC(=O)C,nonyl acetate,nonyl acetate,sweet;clean;fruity;green;fruit tropical fruit;waxy
9007,124.14,COC1=CC=CC(=C1)O,3-methoxyphenol,3-methoxyphenol,phenolic
9012,246.4,C1=CC=C(C=C1)CSSCC2=CC=CC=C2,(benzyldisulfanyl)methylbenzene,dibenzyl disulfide,caramellic;smoky;burnt;green;earthy
9015,124.14,COC1=CC=C(C=C1)O,4-methoxyphenol,4-methoxyphenol,phenolic
9016,138.16,COC1=CC=C(C=C1)OC,"1,4-dimethoxybenzene","1,4-dimethoxybenzene",sweet;hay new mown hay;fennel;green
9017,198.3,CC(CCC=C(C)C)CCOC(=O)C,"3,7-dimethyloct-6-enyl acetate",citronellyl acetate,fruit;floral;rose;fruity;green;woody;tropical;citrus
9020,162.05,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+],disodium;butanedioate,disodium succinate,odorless
9024,192.25,CC(=O)OC(C)(C)CC1=CC=CC=C1,(2-methyl-1-phenylpropan-2-yl) acetate,dimethylbenzylcarbinyl acetate,sweet;berry;floral;rose;fruity;pear;powdery;green;jasmin
9025,138.16,COC1=CC(=CC=C1)OC,"1,3-dimethoxybenzene","1,3-dimethoxybenzene",sweet;root beer;nutmeg;medicinal;fruity;acidic;cooling;neroli
9027,158.28,CCC(C)CCC(C)(CC)O,"3,6-dimethyloctan-3-ol","3,6-dimethyl-3-octanol",sweet;blueberry;floral;rose;bois de rose;fresh;woody
9253,70.13,C1CCCC1,cyclopentane,cyclopentane,petroleum
9256,85.13,C1=CSC=N1,"1,3-thiazole",thiazole,nutty;fishy;meaty
9261,80.09,C1=CN=CC=N1,pyrazine,pyrazine,sweet;hazelnut roasted hazelnut;nutty;barley roasted barley;roasted;hazelnut;pungent;corn
9290,430.37,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ca+2],"calcium;(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate",calcium gluconate,odorless
9316,292.5,CCC=CCC=CCC=CCCCCCCCC(=O)OC,"methyl octadeca-9,12,15-trienoate","methyl octadeca-9,12,15-trienoate",fruity;fatty;oily
9473,194.18,CC(=O)OCC1=CC2=C(C=C1)OCO2,"1,3-benzodioxol-5-ylmethyl acetate",piperonyl acetate,sweet;metallic;floral;strawberry;jammy;powdery;hawthorn;jasmin;soapy;aromatic
9589,121.14,CC(=O)C1=CN=CC=C1,1-pyridin-3-ylethanone,3-acetylpyridine,sweet;dry;nutty;phenolic;hawthorn;woody;popcorn
9609,90.19,CCSCC,ethylsulfanylethane,diethyl sulfide,sulfurous;ethereal
9862,126.2,CC(=CCCC(=O)C)C,6-methylhept-5-en-2-one,6-methyl-5-hepten-2-one,musty;banana;fruity;cheesy;apple;creamy;lemongrass;green;citrus;ketonic
9862,126.2,CC(=CCCC(=O)C)C,6-methylhept-5-en-2-one,6-methyl-5-hepten-2-one,nutty;coffee;filbert;roasted;hazelnut;ketonic
9895,152.23,CC1=C(C(CCC1)(C)C)C=O,"2,6,6-trimethylcyclohexene-1-carbaldehyde",beta-cyclocitral,sweet;clean;rose;herbal;fruity;tobacco;saffron;green;tropical
9984,178.18,COC1=C(C=CC(=C1)C=CC=O)O,3-(4-hydroxy-3-methoxyphenyl)prop-2-enal,"2-propenal, 3-(4-hydroxy-3-methoxyphenyl)-",sweet;vanilla;custard;cookie;barley roasted barley;bready;bread crust;bread baked;grain toasted grain;dairy;graham cracker
9989,168.23,CC(=CCCC(=CC(=O)O)C)C,"3,7-dimethylocta-2,6-dienoic acid","3,7-dimethyl-2,6-octadienoic acid",dry;sweet;greasy;weedy;acidic;green;moldy;woody
10015,198.34,CCCCCCC(=O)CCCCCC,tridecan-7-one,7-tridecanone,may;blossom
10049,154.25,C[C@]12CC[C@@H](C1(C)C)C[C@H]2O,"(1S,2R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol",borneol,peppery;camphoreous;balsamic;woody;pine
10050,152.23,C[C@]12CCC(C1(C)C)CC2=O,"(1S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one","camphor, (1s,4s)-(-)-",camphoreous
10099,204.35,C[C@@H]1CC[C@@H]2C13CC=C(C(C3)C2(C)C)C,"(2R,5S)-2,6,6,8-tetramethyltricyclo[5.3.1.01,5]undec-8-ene","(2r,5s)-2,6,6,8-tetramethyltricyclo[5.3.1.01,5]undec-8-ene",sweet;woody;fresh;cedar
10106,154.25,CC(C)C12CCC(O1)(CC2)C,1-methyl-4-propan-2-yl-7-oxabicyclo[2.2.1]heptane,"1,4-cineole",herbal;terpenic;eucalyptus;cooling;camphoreous;green;minty;pine
10112,100.09,C(=O)([O-])[O-].[Ca+2],calcium;carbonate,aragonite,odorless
10123,204.35,CC1=CCCC2(C1CC(CC2)C(=C)C)C,"5,8a-dimethyl-3-prop-1-en-2-yl-2,3,4,4a,7,8-hexahydro-1H-naphthalene","4a,8-dimethyl-2-(prop-1-en-2-yl)-1,2,3,4,4a,5,6,8a-octahydronaphthalene",amber
10129,138.25,CC1CCC2CC1C2(C)C,"2,6,6-trimethylbicyclo[3.1.1]heptane",pinane,herbal;fresh;balsamic;pine
10137,204.35,C[C@]12CCCC(C3[C@@H]1CCC3C2=C)(C)C,"(1S,7S)-3,3,7-trimethyl-8-methylidenetricyclo[5.4.0.02,9]undecane","(1S,7S)-3,3,7-trimethyl-8-methylidenetricyclo[5.4.0.02,9]undecane",sweet;medicinal;rose;fir needle;woody
10223,204.35,CC1=CC2C(CCC(=C2CC1)C)C(C)C,"4,7-dimethyl-1-propan-2-yl-1,2,3,5,6,8a-hexahydronaphthalene","cadina-1(10),4-diene",dry;herbal;thyme;woody
10224,202.33,CC1CCC(C2=C1C=CC(=C2)C)C(C)C,"1,6-dimethyl-4-propan-2-yl-1,2,3,4-tetrahydronaphthalene","1,6-dimethyl-4-isopropyltetralin",herb;spice
10228,244.28,CC(=CCC1=C(C=CC2=C1OC(=O)C=C2)OC)C,7-methoxy-8-(3-methylbut-2-enyl)chromen-2-one,osthole,dry;musty;herbal
10231,222.24,COC1=C(C2=C(C=C1CC=C)OCO2)OC,"4,5-dimethoxy-6-prop-2-enyl-1,3-benzodioxole",dillapiole,woody;spicy
10248,208.25,COC1=CC(=CC(=C1OC)OC)CC=C,"1,2,3-trimethoxy-5-prop-2-enylbenzene",elemicin,floral;spicy
10282,154.25,CC1=CC(C(CC1)C(C)C)O,3-methyl-6-propan-2-ylcyclohex-2-en-1-ol,p-menth-1-en-3-ol,herbal
10285,143.18,CC1=CC=NC2=CC=CC=C12,4-methylquinoline,lepidine,sweet;floral;herbal;oily;burnt
10315,148.2,CCCC(=O)C1=CC=CC=C1,1-phenylbutan-1-one,butyrophenone,camphoreous;hazelnut;walnut;cherry
10322,152.15,C1OC2=C(O1)C=C(C=C2)CO,"1,3-benzodioxol-5-ylmethanol",piperonyl alcohol,sweet;vanilla;powdery
10335,136.19,CC1=CC(=C(C=C1C)O)C,"2,4,5-trimethylphenol","2,4,5-trimethylphenol",chemical;phenolic
10336,84.12,CC=C(C)C=O,2-methylbut-2-enal,2-methylbut-2-enal,nutty;fruity;anisic;green;ethereal;pungent;sharp
10340,105.988,C(=O)([O-])[O-].[Na+].[Na+],disodium;carbonate,sodium carbonate,odorless
10341,84.07,C1C=CC(=O)O1,2H-furan-5-one,2(5h)-furanone,buttery
10353,156.26,CC1CCC(CC1)C(C)(C)O,2-(4-methylcyclohexyl)propan-2-ol,dihydroterpineol,lime;floral;terpenic;pine;citrus
10362,154.25,CC1CCC(CC1=O)C(C)C,2-methyl-5-propan-2-ylcyclohexan-1-one,carvomenthone,herbal;minty;spearmint
10363,152.23,CC1CCC(=CC1=O)C(C)C,6-methyl-3-propan-2-ylcyclohex-2-en-1-one,p-menth-3-en-2-one,minty;spearmint
10364,150.22,CC1=C(C=C(C=C1)C(C)C)O,2-methyl-5-propan-2-ylphenol,carvacrol,spicy;herbal;smoky;camphoreous;cooling;woody;thyme
10393,138.16,C1=CC(=CC=C1CCO)O,4-(2-hydroxyethyl)phenol,tyrosol,floral;fruity;sweet
10396,282.5,CCCCCCCCCCCCCCC1CCC(=O)O1,5-tetradecyloxolan-2-one,gamma-stearolactone,fatty;waxy
10402,170.25,CC(CCC=C(C)C)CC(=O)O,"3,7-dimethyloct-6-enoic acid",citronellic acid,vegetable;fatty;floral;citronella;smoky;grassy;tobacco;green;waxy
10408,268.5,CC(C)CCCC(C)CCCC(C)CCCC(=O)C,"6,10,14-trimethylpentadecan-2-one",502-69-2,floral;herbal;oily;jasmin;celery;woody
10409,224.38,C1CCCCCCCC(=O)CCCCCC1,cyclopentadecanone,cyclopentadecanone,natural;animal;greasy;powdery;musk
10430,102.13,CC(C)CC(=O)O,3-methylbutanoic acid,isovaleric acid,sweaty;sour;pungent;ripe;fatty;fruity;acidic;tropical;dairy;cheesy
10448,106.19,CSCCCO,3-methylsulfanylpropan-1-ol,methionol,sweet;vegetable;meaty;sulfurous;savory;soup;onion;cooked
10451,120.2,C1CSCSC1,"1,3-dithiane","1,3-dithiane",roasted;alliaceous
10452,120.2,C1CSCCS1,"1,4-dithiane","1,4-dithiane",fermented;solvent;sulfurous;mushroom;garlic;onion;seafood
10453,296.5,CC(C)CCCC(C)CCCC(C)CCCC(C)(C=C)O,"3,7,11,15-tetramethylhexadec-1-en-3-ol",isophytol,floral;herbal;green
10460,98.14,CCCC=CC=O,hex-2-enal,hexenal,sweet;vegetable;almond bitter almond;leafy;plum;fruity;apple;green
10484,76.12,CC(=O)S,ethanethioic S-acid,thioacetic acid,roasted;burnt;meaty;cooked
10534,204.35,CC(=CCCC1(C2CCC(C2)C1=C)C)C,2-methyl-3-methylidene-2-(4-methylpent-3-enyl)bicyclo[2.2.1]heptane,"bicyclo[2.2.1]heptane, 2-methyl-3-methylene-2-(4-methyl-3-pentenyl)-, (1s-exo)-",woody
10558,90.19,CC(C)CS,2-methylpropane-1-thiol,isobutyl mercaptan,mustard;vegetable;sulfurous;cooked
10560,90.19,CCC(C)S,butane-2-thiol,2-butanethiol,sulfurous
10569,302.5,CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C,"(1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid",abietic acid,acetic;mild
10582,152.23,CC1(C2CC=C(C1C2)CO)C,"(6,6-dimethyl-2-bicyclo[3.1.1]hept-2-enyl)methanol",myrtenol,sweet;medicinal;herbal;camphoreous;cooling;balsamic;woody;minty;pine
10623,168.15,CC1=CC(=O)C(=C(O1)O)C(=O)C,3-acetyl-2-hydroxy-6-methylpyran-4-one,3-acetyl-2-hydroxy-6-methylpyran-4-one,odorless
10657,204.35,CC1=CC[C@@H]2[C@@H](C1)[C@@H](CC=C2C)C(C)C,"(1S,4aR,8aS)-4,7-dimethyl-1-propan-2-yl-1,2,4a,5,8,8a-hexahydronaphthalene",beta-cadinene,woody;green
10659,222.24,COC1=C2C(=C(C(=C1)CC=C)OC)OCO2,"4,7-dimethoxy-5-prop-2-enyl-1,3-benzodioxole",apiole,herbal;parsley
10687,122.16,CC1=C(C(=CC=C1)O)C,"2,3-dimethylphenol","2,3-dimethylphenol",musty;chemical;phenolic
10698,136.19,CC1=CC(=C(C(=C1)C)O)C,"2,4,6-trimethylphenol","2,4,6-trimethylphenol",coffee;phenolic
10722,120.15,CC1=CC=CC=C1C=O,2-methylbenzaldehyde,2-methylbenzaldehyde,cherry
10743,224.21,COC1=CC(=CC(=C1O)OC)C=CC(=O)O,"3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoic acid","4-hydroxy-3,5-dimethoxycinnamic acid",odorless
10748,176.17,COC1=CC2=C(C=C1)C=CC(=O)O2,7-methoxychromen-2-one,7-methoxycoumarin,sweet;balsamic;tonka
10778,150.17,CC1=CC=CC=C1OC(=O)C,(2-methylphenyl) acetate,o-tolyl acetate,fruit dried fruit;floral;sweet;medicinal
10795,90.12,CC(OC)OC,"1,1-dimethoxyethane","1,1-dimethoxyethane",sweet;hay new mown hay;green;ethereal;alcoholic;sharp
10797,82.1,CC1=CC=CO1,2-methylfuran,2-methylfuran,acetone;chocolate;ethereal
10817,136.19,CC1=CC=C(C=C1)C(C)O,1-(4-methylphenyl)ethanol,1-(4-methylphenyl)ethanol,sweet;floral;nutty;powdery;hawthorn
10819,152.23,CC(=C)C1CCC(=CC1)CO,(4-prop-1-en-2-ylcyclohexen-1-yl)methanol,perillyl alcohol,sweet;spicy;floral;violet;cardamom;orange peel;green;woody;waxy;cumin;aromatic
10823,107.15,CCC1=CN=CC=C1,3-ethylpyridine,3-ethylpyridine,tobacco;oakmoss;leathery
10850,470.7,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,"2,3-di(octanoyloxy)propyl octanoate",tricaprylin,odorless
10869,122.16,COCC1=CC=CC=C1,methoxymethylbenzene,benzyl methyl ether,ylang;floral;fruity;green;ethereal;hyacinth
10873,136.19,CCOCC1=CC=CC=C1,ethoxymethylbenzene,(ethoxymethyl)benzene,tropical;fruity;pineapple
10882,130.18,CCCCC(=O)OCC,ethyl pentanoate,ethyl pentanoate,sweet;berry;fruity;pineapple;acidic;apple;green;tropical
10883,144.17,CCOC(=O)CCC(=O)C,ethyl 4-oxopentanoate,ethyl levulinate,sweet;rhubarb;berry;floral;melon;fruity;pineapple;green;waxy
10885,144.21,CCCC(=O)OCC(C)C,2-methylpropyl butanoate,isobutyl butyrate,sweet;rummy;bubble gum;berry;fruit overripe fruit;ripe;fruity;pineapple;apple;candy;cherry;tutti frutti
10886,186.29,CCCCCC(=O)OCCCCC,pentyl hexanoate,pentyl hexanoate,sweet;estery;fatty;cognac;fruity;pineapple;apple;pear;green;waxy
10890,158.24,CCCCCOC(=O)CCC,pentyl butanoate,pentyl butyrate,sweet;banana;fruity;pineapple;cherry;tropical
10895,130.18,CCC(=O)OCC(C)C,2-methylpropyl propanoate,isobutyl propionate,sweet;rummy;estery;bubble gum;banana;fruity;tutti frutti;green;ethereal;tropical;pungent
10902,94.2,C(CS)S,"ethane-1,2-dithiol","1,2-ethanedithiol",meaty;sulfurous
10911,444.92,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,"2,2,4,4,6,6,8,8,10,10,12,12-dodecamethyl-1,3,5,7,9,11-hexaoxa-2,4,6,8,10,12-hexasilacyclododecane",dodecamethylcyclohexasiloxane,odorless
10925,104.22,CC(C)CCS,3-methylbutane-1-thiol,3-methyl-1-butanethiol,garlic;onion;sulfurous;onion green onion
10927,87.12,CCCC(=O)N,butanamide,butyramide,nutty
10931,100.12,CC(=CC(=O)O)C,3-methylbut-2-enoic acid,"3,3-dimethylacrylic acid",phenolic;dairy;green
10934,113.18,CC1=CSC(=N1)C,"2,4-dimethyl-1,3-thiazole","2,4-dimethylthiazole",coffee;tea;beefy;barley roasted barley
10947,238.41,CC1CCCCCCCCCCCCC(=O)C1,3-methylcyclopentadecan-1-one,muscone,sweet;natural;animal;fatty;floral;powdery;soapy;musk
10957,102.13,CC(C)COC=O,2-methylpropyl formate,isobutyl formate,sweet;chemical;fruity;ethereal
10966,87.15,CCN=C=S,isothiocyanatoethane,ethyl isothiocyanate,mustard;garlic;pungent
10975,154.25,CC(C)(CCCC(=C)C=C)O,2-methyl-6-methylideneoct-7-en-2-ol,myrcenol,floral;lavender;fresh;citrus
10976,116.2,CCCCCC(C)O,heptan-2-ol,2-heptanol,sweet;floral;herbal;fruity;fresh;lemongrass;green;citrus
10993,100.16,CCC=CCCO,hex-3-en-1-ol,hex-3-en-1-ol,leafy;green
11002,146.3,CCCCSCCCC,1-butylsulfanylbutane,dibutyl sulfide,vegetable;rubbery;rose;herbal;garlic;violet leaf;horseradish;alliaceous;savory;grassy;onion;green;geranium
11005,228.37,CCCCCCCCCCCCCC(=O)O,tetradecanoic acid,tetradecanoic acid,fatty;pineapple;coconut;citrus peel;soapy;waxy
11027,152.23,CC1C2CC2(CC1=O)C(C)C,4-methyl-1-propan-2-ylbicyclo[3.1.0]hexan-3-one,3-thujanone,cedar;spicy;thujonic;woody
11029,84.31,C(=O)([O-])[O-].[Mg+2],magnesium;carbonate,magnesium carbonate,odorless
11038,152.23,CC1C2CC(C2(C)C)CC1=O,"2,6,6-trimethylbicyclo[3.1.1]heptan-3-one",3-pinanone,spicy
11039,102.13,CC(C)C(=O)OC,methyl 2-methylpropanoate,methyl isobutyrate,sweet;floral;fruity;pineapple;apple;ethereal;tutti frutti
11069,422.5,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,(5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl)-(6-methoxyquinolin-4-yl)methanol;sulfuric acid,quinora,odorless
11086,135.16,CC(=O)C1=CC=CC=C1N,1-(2-aminophenyl)ethanone,2'-aminoacetophenone,grape;sweet
11095,288.25,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-2,3-dihydrochromen-4-one",(+/-)-eriodictyol,bland
11124,88.11,CCC(=O)OC,methyl propanoate,methyl propionate,rummy;strawberry;fruity;apple;fresh
11126,98.17,CC1=CC=CS1,2-methylthiophene,2-methylthiophene,sulfurous;alliaceous;onion;green;roasted
11142,136.23,CC(C)C1CCC(=C)C=C1,3-methylidene-6-propan-2-ylcyclohexene,beta-phellandrene,terpenic;minty
11160,116.16,CC(C)CC(=O)OC,methyl 3-methylbutanoate,methyl isovalerate,sweet;estery;fruity;pineapple;apple;tutti frutti
11167,73.12,CN=C=S,methylimino(sulfanylidene)methane,methyl isothiocyanate,mustard;horseradish;pungent
11168,73.12,CSC#N,methyl thiocyanate,methyl thiocyanate,sulfury;onion
11173,86.13,CC(=CCO)C,3-methylbut-2-en-1-ol,3-methyl-2-buten-1-ol,sweet;fermented;yeasty;fruity;lavender;green;alcoholic
11176,144.21,CCCOC(=O)CC(C)C,propyl 3-methylbutanoate,propyl isovalerate,sweet;bitter;fruity;apple
11196,138.21,CCC=CCCC=CC=O,"nona-2,6-dienal","2,6-nonadienal",cucumber;green;violet leaf
11230,154.25,CC1=CCC(CC1)(C(C)C)O,4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,4-carvomenthenol,sweet;musty;spicy;mentholic;peppery;terpenic;woody;earthy;citrus
11251,86.13,CC(C)C(=O)C,3-methylbutan-2-one,3-methyl-2-butanone,camphor
11265,100.16,CCC(=O)C(C)C,2-methylpentan-3-one,2-methyl-3-pentanone,mint
11335,122.16,CC1=C(C(=CC=C1)C)O,"2,6-dimethylphenol","2,6-dimethylphenol",sweet;medicinal;rooty;coffee;phenolic
11340,134.17,CC1=CC=CC=C1C(=O)C,1-(2-methylphenyl)ethanone,2'-methylacetophenone,sweet;floral;honey;nutty;burnt;powdery;anisic;phenolic;coumarinic;hawthorn
11363,148.16,CC(=O)C(=O)C1=CC=CC=C1,"1-phenylpropane-1,2-dione","1-phenyl-1,2-propanedione",plastic;honey;buttery
11406,162.18,C=CCOC(=O)C1=CC=CC=C1,prop-2-enyl benzoate,allyl benzoate,sweet;berry;floral;fruity;cherry
11409,168.19,CCCCOC(=O)C1=CC=CO1,butyl furan-2-carboxylate,butyl 2-furoate,floral;orchid
11418,114.19,CC1CCCCC1O,2-methylcyclohexan-1-ol,2-methylcyclohexanol,oil;coconut;mild
11419,112.17,CC1CCCCC1=O,2-methylcyclohexan-1-one,2-methylcyclohexanone,cooling;peppermint;minty
11428,88.15,CCC(CC)O,pentan-3-ol,3-pentanol,sweet;herbal;nutty;oily
11430,138.205,C(=O)([O-])[O-].[K+].[K+],dipotassium;carbonate,potassium carbonate,odorless
11449,142.2,CCCCCC(=O)C(=O)C,"octane-2,3-dione","octane-2,3-dione",aldehydic;fatty;cortex;herbal;cilantro;asparagus;earthy;dill
11463,136.23,CC1=CCC(=C(C)C)CC1,1-methyl-4-propan-2-ylidenecyclohexene,terpinolene,sweet;herbal;fresh;woody;lemon peel;pine;citrus
11467,154.25,CC(=C1CCC(CC1)(C)O)C,1-methyl-4-propan-2-ylidenecyclohexan-1-ol,gamma-terpineol,floral;pine;lilac
11468,154.25,CC(C)C1=CCC(CC1)(C)O,1-methyl-4-propan-2-ylcyclohex-3-en-1-ol,p-menth-3-en-1-ol,dry;woody;musty
11487,169.22,C1=CC=C(C=C1)NC2=CC=CC=C2,N-phenylaniline,diphenylamine,sweet;floral;faint
11505,122.16,CC1=CC=C(C=C1)CO,(4-methylphenyl)methanol,4-methylbenzyl alcohol,floral;mild
11508,102.17,CCC(C)CCO,3-methylpentan-1-ol,3-methyl-1-pentanol,fermented;cocoa;cognac;winey;fruity;fusel;green;pungent
11509,100.16,CCCC(=O)CC,hexan-3-one,3-hexanone,sweet;rummy;grape;fruity;waxy
11513,116.2,CCCC(CCC)O,heptan-4-ol,4-heptanol,alcoholic
11514,158.24,CC(C)CC(=O)OCC(C)C,2-methylpropyl 3-methylbutanoate,isobutyl isovalerate,sweet;banana;fruity;apple;raspberry;green
11517,200.32,CCCCCCCC(=O)OCCCC,butyl octanoate,butyl octanoate,herbal;buttery;ethereal
11520,116.2,CCCCC(CC)O,heptan-3-ol,heptan-3-ol,herbal;pungent;bitter
